MGnify_accession,Count
MGYG-HGUT-02583,50
MGYG-HGUT-02589,50
MGYG-HGUT-02602,50
MGYG-HGUT-02609,50
MGYG-HGUT-02612,50
MGYG-HGUT-02509,50
MGYG-HGUT-02506,50
MGYG-HGUT-02504,50
MGYG-HGUT-02499,50
MGYG-HGUT-02422,50
MGYG-HGUT-02424,50
MGYG-HGUT-02438,50
MGYG-HGUT-02444,50
MGYG-HGUT-02445,50
MGYG-HGUT-02446,50
MGYG-HGUT-02447,50
MGYG-HGUT-02448,50
MGYG-HGUT-02450,50
MGYG-HGUT-02453,50
MGYG-HGUT-02454,50
MGYG-HGUT-02455,50
MGYG-HGUT-02459,50
MGYG-HGUT-02463,50
MGYG-HGUT-02469,50
MGYG-HGUT-02470,50
MGYG-HGUT-02478,50
MGYG-HGUT-02480,50
MGYG-HGUT-02482,50
MGYG-HGUT-02485,50
MGYG-HGUT-02486,50
MGYG-HGUT-02492,50
MGYG-HGUT-02497,50
MGYG-HGUT-02616,50
MGYG-HGUT-02619,50
MGYG-HGUT-02625,50
MGYG-HGUT-03288,50
MGYG-HGUT-03306,50
MGYG-HGUT-03311,50
MGYG-HGUT-03318,50
MGYG-HGUT-03326,50
MGYG-HGUT-03331,50
MGYG-HGUT-03374,50
MGYG-HGUT-03405,50
MGYG-HGUT-03409,50
MGYG-HGUT-03411,50
MGYG-HGUT-03418,50
MGYG-HGUT-03439,50
MGYG-HGUT-03454,50
MGYG-HGUT-03456,50
MGYG-HGUT-03465,50
MGYG-HGUT-03475,50
MGYG-HGUT-03481,50
MGYG-HGUT-03482,50
MGYG-HGUT-03483,50
MGYG-HGUT-03504,50
MGYG-HGUT-03656,50
MGYG-HGUT-03681,50
MGYG-HGUT-03682,50
MGYG-HGUT-03683,50
MGYG-HGUT-03298,50
MGYG-HGUT-03242,50
MGYG-HGUT-02633,50
MGYG-HGUT-03224,50
MGYG-HGUT-02681,50
MGYG-HGUT-02715,50
MGYG-HGUT-02720,50
MGYG-HGUT-02723,50
MGYG-HGUT-02760,50
MGYG-HGUT-02773,50
MGYG-HGUT-02794,50
MGYG-HGUT-02796,50
MGYG-HGUT-02831,50
MGYG-HGUT-02876,50
MGYG-HGUT-02882,50
MGYG-HGUT-02926,50
MGYG-HGUT-02930,50
MGYG-HGUT-02955,50
MGYG-HGUT-02969,50
MGYG-HGUT-02993,50
MGYG-HGUT-03017,50
MGYG-HGUT-03022,50
MGYG-HGUT-03074,50
MGYG-HGUT-03077,50
MGYG-HGUT-03126,50
MGYG-HGUT-03166,50
MGYG-HGUT-03217,50
MGYG-HGUT-00781,50
MGYG-HGUT-04644,50
MGYG-HGUT-00669,50
MGYG-HGUT-00273,50
MGYG-HGUT-00431,50
MGYG-HGUT-00271,50
MGYG-HGUT-00429,50
MGYG-HGUT-00074,50
MGYG-HGUT-00167,50
MGYG-HGUT-00272,50
MGYG-HGUT-00166,50
MGYG-HGUT-00231,50
MGYG-HGUT-00076,50
MGYG-HGUT-00419,50
MGYG-HGUT-00077,50
MGYG-HGUT-00078,50
MGYG-HGUT-00484,50
MGYG-HGUT-00651,50
MGYG-HGUT-00084,50
